n,prime,k,l,size_X,lambda_plus,lambda_minus,bipartition,tag,dim,R_plus_bound,rank_mod_p,defect_to_bound,bucket
8,1000003,3,3,480,4.2.1,1,4.2.1|1,,280,140,116,24,EXTRA_DEFECT
8,1000003,3,3,480,4.1.1.1,1,4.1.1.1|1,,160,80,64,16,EXTRA_DEFECT
8,1000003,3,3,480,3.3.1,1,3.3.1|1,,168,84,60,24,EXTRA_DEFECT
8,1000003,2,2,40272,3.2.2,1,3.2.2|1,,168,84,80,4,EXTRA_DEFECT
8,1000003,3,3,480,3.2.2,1,3.2.2|1,,168,84,60,24,EXTRA_DEFECT
8,1000003,2,2,40272,3.2.1.1,1,3.2.1.1|1,,280,140,132,8,EXTRA_DEFECT
8,1000003,3,3,480,3.2.1.1,1,3.2.1.1|1,,280,140,104,36,EXTRA_DEFECT
8,1000003,3,3,480,3.1.1.1.1,1,3.1.1.1.1|1,,120,60,48,12,EXTRA_DEFECT
8,1000003,3,3,480,2.2.2.1,1,2.2.2.1|1,,112,56,16,40,EXTRA_DEFECT
8,1000003,3,3,480,2.2.1.1.1,1,2.2.1.1.1|1,,112,56,44,12,EXTRA_DEFECT
8,1000003,3,3,480,4.3.1,∅,4.3.1|∅,,70,34,28,6,EXTRA_DEFECT
8,1000003,3,3,480,4.2.1.1,∅,4.2.1.1|∅,,90,42,36,6,EXTRA_DEFECT
8,1000003,3,3,480,3.3.2,∅,3.3.2|∅,,42,18,12,6,EXTRA_DEFECT
8,1000003,3,3,480,3.3.1.1,∅,3.3.1.1|∅,,56,32,24,8,EXTRA_DEFECT
8,1000003,3,3,480,3.2.2.1,∅,3.2.2.1|∅,,70,34,28,6,EXTRA_DEFECT
8,1000003,3,3,480,3.2.1.1.1,∅,3.2.1.1.1|∅,,64,32,26,6,EXTRA_DEFECT
8,1000003,3,3,480,2.2.2.1.1,∅,2.2.2.1.1|∅,,28,12,0,12,ZERO
